% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (6.870000000000e+00) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.397319266e+01 +2.397319266e+01 +2.797531927e+02 +2.797531927e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.733026805e+01 +1.733026805e+01 +2.731102681e+02 +2.731102681e+02 +3.5214e+00 +1.0479e+00 +3.8892e+00 +2.3997e+00 +1.8901e+00 -5.7565e-01 -4.5607e+00 -4.0371e+00 +1.8373e+00 -2.8560e+00
3 0 +1.197297041e+01 +1.197297041e+01 +2.677529704e+02 +2.677529704e+02 +3.1681e-01 +1.7739e+00 -6.7788e-01 -2.8383e+00 +3.9876e+00 -8.7829e-01 +1.2462e+00 -9.2294e-01 -9.6671e-01 -4.8855e+00
5 0 +7.675262010e+00 +7.675262010e+00 +2.634552620e+02 +2.634552620e+02 +3.6631e+00 +2.7650e+00 -4.6976e+00 -3.4272e+00 -4.9302e+00 -1.8223e-01 -1.3160e-01 -1.5048e+00 -1.1736e+00 +2.2747e+00
10 0 +5.508262785e+00 +5.508262785e+00 +2.612882628e+02 +2.612882628e+02 -3.9968e+00 -4.8852e+00 -4.0125e-01 -4.1164e+00 +3.5845e+00 -1.1172e+00 -2.3425e+00 +1.0557e+00 -9.6929e-01 -1.7793e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (1.000000000000e+03) | measured fitness | best measured fitness | x1 | x2...
1 0 +9.391019891e+00 +9.391019891e+00 +1.009391020e+03 +1.009391020e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +7.862916597e+00 +7.862916597e+00 +1.007862917e+03 +1.007862917e+03 -3.2676e+00 -5.8731e-02 -1.3270e+00 +3.5188e-01 +1.9481e+00 +1.2800e+00 +4.8082e+00 +6.7120e-01 +4.1789e+00 -5.2014e-01
7 0 +7.656266986e+00 +7.656266986e+00 +1.007656267e+03 +1.007656267e+03 +4.9172e+00 -3.8062e+00 +4.3158e-01 +2.5934e+00 +2.0177e+00 -3.5756e-02 -3.4165e+00 +1.2762e+00 -3.7700e+00 -2.1478e+00
14 0 +6.602828243e+00 +6.602828243e+00 +1.006602828e+03 +1.006602828e+03 -1.2372e-01 -2.4853e+00 -1.4591e+00 +4.0202e+00 -1.3690e+00 +4.0867e+00 -3.2093e+00 +3.7382e+00 +1.5276e-01 -4.6161e+00
