% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (7.135000000000e+01) | measured fitness | best measured fitness | x1 | x2...
14 0 +5.382815419e+01 +5.382815419e+01 -4.640818458e+02 -4.640818458e+02 -3.5673e+00 -3.5696e+00 -3.8692e-01 +1.1456e+00 -2.9980e+00 -1.5251e+00 -3.9207e+00 -4.7961e+00 +1.2149e+00 -2.8116e+00 +9.2655e-01 -1.2232e+00 -2.8284e-01 +2.8177e+00 +4.8139e+00 +2.2928e+00 -2.8940e+00 +4.3589e+00 +4.1442e-01 -3.2034e+00
17 0 +4.892774353e+01 +4.892774353e+01 -4.689822565e+02 -4.689822565e+02 +4.1251e+00 +2.1544e+00 -1.7904e+00 +1.2268e-02 +3.0072e+00 +2.2202e+00 +4.5581e+00 +4.6884e+00 -3.2083e+00 -3.0380e+00 -4.5498e+00 +2.2610e-01 -3.7608e+00 +3.4112e+00 -4.6354e+00 -3.3140e+00 -1.7085e+00 -1.8486e+00 +2.2058e+00 -4.9017e+00
20 0 +4.063679243e+01 +4.063679243e+01 -4.772732076e+02 -4.772732076e+02 -1.2294e+00 -1.7802e+00 -4.7003e+00 -1.3640e+00 -4.9414e+00 -3.9955e+00 +2.9177e+00 -3.4609e+00 -1.7504e+00 -3.7796e+00 +3.8105e+00 +2.2296e+00 +2.4220e+00 -3.0506e+00 +6.2355e-01 -5.7626e-01 +3.7114e+00 +7.9477e-01 +4.1509e-01 -1.7493e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-5.721000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +8.082507635e+01 +8.082507635e+01 +2.361507635e+01 +2.361507635e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 0 +7.682461617e+01 +7.682461617e+01 +1.961461617e+01 +1.961461617e+01 +4.7003e+00 -1.0657e+00 +3.5238e-01 -3.4475e+00 -3.7663e+00 +2.5335e+00 -2.3637e+00 +1.3119e+00 -4.6372e+00 +4.1664e+00 -2.3291e+00 -3.1665e+00 -3.9755e+00 +8.5733e-02 -4.6972e+00 -6.6375e-01 -3.3366e+00 -3.8786e+00 +1.4558e+00 +9.2066e-01
6 0 +5.577714939e+01 +5.577714939e+01 -1.432850613e+00 -1.432850613e+00 +1.0637e+00 -2.1229e+00 +1.0667e+00 -4.7137e+00 +2.8445e+00 +1.2513e+00 -4.1063e+00 +2.7876e+00 +1.8113e+00 -1.2510e+00 +4.8845e+00 +3.5733e-01 +3.6886e+00 +7.3034e-02 +4.4683e+00 -2.9921e+00 -1.1546e+00 +4.1988e+00 -2.5128e+00 +9.3989e-01
22 0 +4.517383560e+01 +4.517383560e+01 -1.203616440e+01 -1.203616440e+01 -3.6916e+00 -5.3017e-01 -2.0652e-01 +1.7334e+00 -4.9906e+00 +8.6060e-01 -2.6635e+00 -4.4770e+00 +3.0542e+00 -4.8067e+00 +1.9626e-01 +2.7989e+00 +3.9949e-02 -4.0507e+00 +3.6764e+00 -1.3515e+00 -3.7242e+00 +2.2102e+00 -3.7655e+00 +1.2249e+00
32 0 +4.235440828e+01 +4.235440828e+01 -1.485559172e+01 -1.485559172e+01 -3.8728e+00 +4.5933e+00 -1.6046e+00 +2.6999e+00 -2.3565e+00 +3.4377e-01 -2.9847e+00 -9.3697e-01 +2.8813e+00 -1.5826e+00 +9.4056e-01 +1.9702e+00 -3.9118e+00 -2.3551e+00 +4.9233e+00 +3.7534e+00 +4.6535e+00 +4.7861e+00 -3.1657e+00 -1.6756e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (6.626000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +8.426409085e+01 +8.426409085e+01 +1.505240909e+02 +1.505240909e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +7.353212734e+01 +7.353212734e+01 +1.397921273e+02 +1.397921273e+02 -3.0641e+00 -2.1164e+00 +1.4094e+00 -5.8225e-01 -2.7258e+00 +8.3173e-01 +1.8093e+00 +1.7856e+00 -7.2264e-01 -4.8679e+00 +3.4928e+00 -4.7385e+00 -1.1200e+00 -4.3894e+00 +7.4472e-02 -3.4834e+00 +2.7186e+00 +4.8441e+00 +3.5984e+00 +3.8260e+00
5 0 +5.378850432e+01 +5.378850432e+01 +1.200485043e+02 +1.200485043e+02 +6.0909e-01 -4.5680e+00 -2.7298e+00 +1.1791e+00 +3.7339e+00 -2.7058e+00 -4.7413e+00 -3.5913e+00 +3.2778e+00 -2.0806e+00 -4.8367e+00 -3.5449e+00 +2.5593e+00 -1.8281e+00 -4.0716e+00 +3.0998e-01 +2.5077e+00 +2.9635e+00 -2.2233e+00 -2.5661e+00
13 0 +4.966542558e+01 +4.966542558e+01 +1.159254256e+02 +1.159254256e+02 +2.9399e+00 +4.8954e+00 +1.4986e-01 +1.5766e+00 -4.1640e+00 +4.9263e-01 +3.9609e+00 +1.5113e+00 -4.4440e+00 +3.0337e+00 -1.9890e+00 -1.2590e+00 +3.7026e+00 +9.3631e-01 +2.3793e+00 +3.0468e+00 -3.0512e+00 -3.6997e+00 +1.0286e+00 -1.3159e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1.386200000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +1.214025725e+02 +1.214025725e+02 -1.721742746e+01 -1.721742746e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +9.885299091e+01 +9.885299091e+01 -3.976700909e+01 -3.976700909e+01 +4.3028e+00 +1.5291e+00 -3.6070e+00 +1.6967e+00 +1.2312e+00 +2.5437e+00 -8.3061e-01 -2.8488e+00 +2.6182e-01 +8.9147e-01 -4.1356e+00 +3.1850e+00 +4.1544e+00 -3.7948e+00 +3.7511e+00 +8.1143e-01 -3.4471e+00 +4.1203e+00 +1.1297e+00 +1.7250e+00
3 0 +7.965626693e+01 +7.965626693e+01 -5.896373307e+01 -5.896373307e+01 -3.5304e+00 +8.6338e-01 +3.6962e+00 +1.9593e+00 -2.9649e-01 +3.7970e+00 -3.1370e+00 +4.4116e+00 -1.2947e+00 -3.8951e+00 -3.1561e+00 +3.2237e+00 -1.3541e+00 -2.0090e+00 -8.5039e-01 -2.5942e+00 +4.5184e+00 +1.9597e+00 +2.5693e-01 -1.6413e+00
