% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1.694000000000e+01) | measured fitness | best measured fitness | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-3.428900000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +3.139104561e+01 +3.139104561e+01 -3.114989544e+02 -3.114989544e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.507413147e+01 +1.507413147e+01 -3.278158685e+02 -3.278158685e+02 +3.2695e+00 -4.0733e+00 +3.2749e-01 -1.2679e+00 +1.0513e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (9.102000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +1.631214308e+01 +1.631214308e+01 +1.073321431e+02 +1.073321431e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +1.489353825e+01 +1.489353825e+01 +1.059135383e+02 +1.059135383e+02 +3.3638e+00 +4.2029e+00 +3.5661e+00 -8.8432e-01 -1.0250e+00
5 0 +1.271711711e+01 +1.271711711e+01 +1.037371171e+02 +1.037371171e+02 -3.5708e+00 +3.0042e+00 +4.0162e+00 -1.6236e+00 -3.0917e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (7.324200000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.499022759e+01 +2.499022759e+01 +7.574102276e+02 +7.574102276e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +2.335774486e+01 +2.335774486e+01 +7.557777449e+02 +7.557777449e+02 +4.0921e+00 +4.4282e+00 +4.1325e+00 +6.8654e-01 -4.8096e+00
11 0 +1.430372992e+01 +1.430372992e+01 +7.467237299e+02 +7.467237299e+02 -3.8777e+00 -3.8524e+00 -1.9418e+00 +4.5075e+00 -3.1935e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (3.542000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +3.624426383e+01 +3.624426383e+01 +7.166426383e+01 +7.166426383e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 0 +2.308323104e+01 +2.308323104e+01 +5.850323104e+01 +5.850323104e+01 -2.3142e+00 +3.4869e+00 -4.6584e+00 +4.9625e+00 -3.6696e+00
5 0 +1.878327353e+01 +1.878327353e+01 +5.420327353e+01 +5.420327353e+01 +4.2557e+00 -4.5901e-01 -1.8094e+00 -4.6752e+00 -3.3250e+00
7 0 +1.129140170e+01 +1.129140170e+01 +4.671140170e+01 +4.671140170e+01 +3.1956e+00 -2.9101e+00 -1.6096e+00 -4.4054e+00 +1.6162e-01
